AccountID,Amount
155veCHz5Yuy3Tu5HohD5B3DNNDx8L5qd5GjAGP1chZbmfZi,5.00
16LzN9rUQQoNFwb8jQeX8HjUUiuMZTsGtqk68Q5hhcSSdVdg,87.00
12WmwFkJq4rLvAy16k4NF522ztMXCSt95KJJQyWukCF5JHjq,8.00
19eETeMEmRZJ2H6Z7SKPHSQ69sCcDvwogfGb6H9khG9PqBJ,50.00
155DjWgc4JxfRNP7RXYELcQtYYFZDyhAk16UemxUXqQ9mCvo,300.00
11UkYRhyYCAZxF95iEq2V38AAt1Kz4MZHpxoU1t58TULSF8,19.90
12TKNb5JJzrZzMntjLaDtnE8hUbYt3wCT1m6CUf8DjFzu41Y,31.00
13sUMfxf6kVFeTdZy4LxNrgN9ebWawemDcuPTnkETm2NWzAj,5.00
14dG4dAs2zPuVaN6r51s6nESWYjGxkpREh3SB5pLvYgADNiH,250.00
13pZXydPLuz1QQ6QEDsCSkMAZC5smt5e9aL9BVk9EusSKxjn,"1,961.00"
12vKAY1dbMGYJMxcFNN3BTffzWGLaG4ZRm4QwrArmAKFDQJR,20.00
14ruEx61HTUPRjrC7LuPF6ApGVnfnyCb7p6gQFFLqd2MbiLn,10.00
